INPUT	CONVERSION PRACTICE AREAS	CONVERSION SPECIALTY
Appellate Environmental	Litigation;Environmental	Appellate
Administrative & Public Law	Litigation;Government	Administrative
Administrative Litigation & Government Enforcement Actions	Litigation;Government	Administrative
Criminal Defense & Government Investigations	Litigation;Government	Criminal;Investigations
Appellate Health Care	Litigation;Health Care	Appellate
Health Care Litigation	Litigation;Health Care	Health Care
Appellate Insurance & Reinsurance	Litigation;Insurance	Appellate
Mass Torts & Insurance Litigation	Litigation;Insurance	Insurance;Litigation
International Arbitration & Trade	Litigation;International Trade	Arbitration
Class Action Employment Litigation	Litigation;Labor & Employment	Class Action;Litigation
Employment & Comercial Litigation	Litigation;Labor & Employment	Labor & Employment;Litigation
Construction & Engineering Dispute Resolution	Litigation;Real Estate	Construction;Litigation
Construction & Engineering Disputes	Litigation;Real Estate	Construction;Litigation
Construction & Engineering Litigation	Litigation;Real Estate	Construction;Litigation
Construction & Other Litigation	Litigation;Real Estate	Construction;Litigation
Construction & Real Estate Development Litigation	Litigation;Real Estate	Construction;Litigation
Construction & Real Estate Litigation	Litigation;Real Estate	Construction;Litigation
Construction Contracts & Litigation	Litigation;Real Estate	Construction;Litigation
Affordable Housing	Real Estate	Affordable Housing
Affordable Housing & Community Development	Real Estate	Affordable Housing
Affordable Housing & Economic Development	Real Estate	Affordable Housing
Affordable Housing & Finance	Real Estate	Affordable Housing
Affordable Housing Transactions	Real Estate	Affordable Housing
Community Development & Affordable Housing	Real Estate	Affordable Housing
Condominium	Real Estate	Condo Associations
Condominium & Common Interest Communities	Real Estate	Condo Associations
Condominium & Mixed Use	Real Estate	Condo Associations
Condominium Development & Conversion	Real Estate	Condo Associations
Condominium Practice	Real Estate	Condo Associations
Condominiums	Real Estate	Condo Associations
Cooperative Law	Real Estate	Condo Associations
Cooperatives	Real Estate	Condo Associations
Cooperatives & Condominiums	Real Estate	Condo Associations
Homeowner Association Law	Real Estate	Condo Associations
Homeowners Associations	Real Estate	Condo Associations
Homeowners Associations & Private Restrictive Covenants	Real Estate	Condo Associations
Mixed Use	Real Estate	Condo Associations
Mixed Use & Condominium	Real Estate	Condo Associations
Mixed Use & Medical	Real Estate	Condo Associations
Mixed Use Development	Real Estate	Condo Associations
Mixed Use Development & Condominiums	Real Estate	Condo Associations
Mixed Use Developments	Real Estate	Condo Associations
Owners Associations	Real Estate	Condo Associations
Real Estate Cooperatives & Condominiums	Real Estate	Condo Associations
Residential & Condominium Development	Real Estate	Condo Associations;Development
Residential & Master Planned Communities	Real Estate	Condo Associations;Development
Residential & Multi Family	Real Estate	Condo Associations;Development
Residential & Multifamily	Real Estate	Condo Associations;Development
Residential & Multifamily Development	Real Estate	Condo Associations;Development
Construction & Engineering	Real Estate	Construction
Real Estate Construction	Real Estate	Construction
Commercial & Residential Development	Real Estate	Development
Commercial & Residential Real Estate Development	Real Estate	Development
Commercial & Retail Construction	Real Estate	Development
Commercial Development	Real Estate	Development
Commercial Real Estate & Development Transactions	Real Estate	Development
Construction & Development	Real Estate	Development
Construction & Development Contracts	Real Estate	Development
Construction & Real Estate	Real Estate	Development
Development	Real Estate	Development
Development & Construction	Real Estate	Development
Development & Incentives	Real Estate	Development
Development & Licensing	Real Estate	Development
Development & Management of Domestic & International Power	Real Estate	Development
General Commercial Real Estate Development	Real Estate	Development
Land Development	Real Estate	Development
Land Use & Development Real Estate Litigation	Real Estate	Development
Real Estate & Commercial Development	Real Estate	Development
Real Estate & Property Development	Real Estate	Development
Real Estate & Real Estate Development	Real Estate	Development
Real Estate Development	Real Estate	Development
Real Estate Development & Complex Transactions	Real Estate	Development
Real Estate Development & Permitting	Real Estate	Development
Real Estate Development & Planning	Real Estate	Development
Real Estate Investment & Development	Real Estate	Development
Real Estate Redevelopment	Real Estate	Development
Real Estate Transactions & Development	Real Estate	Development
Residential & Commercial Real Estate Development	Real Estate	Development
Residential Development	Real Estate	Development
Residential Development & Land Assembly	Real Estate	Development
Acquisition & Development	Real Estate	Development; P&S
Acquisition & Development Financing	Real Estate	Development; P&S; Finance
Real Estate Development & Construction	Real Estate	Development;Construction
Land Use & Development Eminent Domain Real Estate Litigation	Real Estate	Development;Eminent Domain
Development & Finance	Real Estate	Development;Finance
Real Estate Development & Finance	Real Estate	Development;Finance
Development & Land Use	Real Estate	Development;Land Use
Development / Land Use	Real Estate	Development;Land Use
Land Use & Development	Real Estate	Development;Land Use
Real Estate Development & Leasing	Real Estate	Development;Leasing
Real Estate Development & Redevelopment Leasing	Real Estate	Development;Leasing
Land Acquisition & Development	Real Estate	Development;P&S
Development & Zoning	Real Estate	Development;Zoning
Development Zoning & Planning	Real Estate	Development;Zoning
Economic Development	Real Estate	Economic Development
Economic Development & Government Incentives	Real Estate	Economic Development
Economic Development & Redevelopment	Real Estate	Economic Development
Economic Development / Public Private Partnerships	Real Estate	Economic Development
Economic Development Bonds	Real Estate	Economic Development
Economic Development Commissions	Real Estate	Economic Development
Economic Development Incentives	Real Estate	Economic Development
Economic Development Organizations	Real Estate	Economic Development
Economic Development Projects	Real Estate	Economic Development
Economic Development Public Affairs Services	Real Estate	Economic Development
Economic Development Services	Real Estate	Economic Development
Condemnation & Eminent Domain	Real Estate	Eminent Domain
Condemnation / Eminent Domain	Real Estate	Eminent Domain
Condemnation / Eminent Domian	Real Estate	Eminent Domain
Condemnation Law	Real Estate	Eminent Domain
Eminent Domain	Real Estate	Eminent Domain
Eminent Domain & Condemnation	Real Estate	Eminent Domain
Eminent Domain & Land Valuation	Real Estate	Eminent Domain
Eminent Domain & Valuation	Real Estate	Eminent Domain
Eminent Domain / Condemnation	Real Estate	Eminent Domain
Eminent Domain in Florida	Real Estate	Eminent Domain
Eminent Domain Inverse Condemnation	Real Estate	Eminent Domain
Eminent Domain Litigation	Real Estate	Eminent Domain
Fifth Amendment Takings & Eminent Domain	Real Estate	Eminent Domain
Condemnation & Land Use	Real Estate	Eminent Domain;Land Use
Commercial & Real Estate Finance	Real Estate	Finance
Commercial & Real Estate Finance Transactions	Real Estate	Finance
Commercial & Real Estate Loan Documentation	Real Estate	Finance
Commercial Real Estate Finance	Real Estate	Finance
Commercial Real Estate Financing Transactions	Real Estate	Finance
Commercial Real Estate Lending	Real Estate	Finance
Construction Finance	Real Estate	Finance
Real Estate & Finance	Real Estate	Finance
Real Estate & Lending	Real Estate	Finance
Real Estate & Real Estate Development Loans	Real Estate	Finance
Real Estate & Real Estate Finance	Real Estate	Finance
Real Estate Commercial Lending	Real Estate	Finance
Real Estate Credit Facilities & Financing	Real Estate	Finance
Real Estate Finance	Real Estate	Finance
Real Estate Finance & Investing	Real Estate	Finance
Real Estate Finance & Lending	Real Estate	Finance
Real Estate Finance Borrowers	Real Estate	Finance
Real Estate Finance Lenders	Real Estate	Finance
Real Estate Finance Transactions	Real Estate	Finance
Real Estate Financing	Real Estate	Finance
Real Estate Financing Leasing	Real Estate	Finance
Real Estate Investment & Finance	Real Estate	Finance
Real Estate Lending	Real Estate	Finance
Real Estate Lending Transactions	Real Estate	Finance
Real Estate Transactions & Finance	Real Estate	Finance
Real Estate Finance & Capital Markets	Real Estate	Finance;Capital Markets
Real Estate Finance/Capital Markets	Real Estate	Finance;Capital Markets
Global Hospitality	Real Estate	Hospitality
Golf	Real Estate	Hospitality
Golf & Resort	Real Estate	Hospitality
Golf Course	Real Estate	Hospitality
Golf Courses	Real Estate	Hospitality
Hospitality	Real Estate	Hospitality
Hospitality & Food Service	Real Estate	Hospitality
Hospitality & Leisure	Real Estate	Hospitality
Hospitality & Lodging	Real Estate	Hospitality
Hospitality & Recreation	Real Estate	Hospitality
Hospitality Industry	Real Estate	Hospitality
Hospitality Industry Team	Real Estate	Hospitality
Hospitality Labor & Employment Law	Real Estate	Hospitality
Hospitality Law	Real Estate	Hospitality
Communities & Resorts	Real Estate	Hotels & Resorts
Hotel	Real Estate	Hotels & Resorts
Hotel & Hospitality for Indian Tribes	Real Estate	Hotels & Resorts
Hotel Financing	Real Estate	Hotels & Resorts
Hotel Law	Real Estate	Hotels & Resorts
Hotels	Real Estate	Hotels & Resorts
Hotels & Convention Centers	Real Estate	Hotels & Resorts
Hotels & Leisure	Real Estate	Hotels & Resorts
Hotels & Resorts	Real Estate	Hotels & Resorts
Hotels & Restaurants	Real Estate	Hotels & Resorts
International Hotel & Resort	Real Estate	Hotels & Resorts
Resort	Real Estate	Hotels & Resorts
Resort & Club	Real Estate	Hotels & Resorts
Resort & Hotel	Real Estate	Hotels & Resorts
Resort & Private Clubs	Real Estate	Hotels & Resorts
Resort & Timeshare	Real Estate	Hotels & Resorts
Resort Development	Real Estate	Hotels & Resorts
Resorts	Real Estate	Hotels & Resorts
Resorts & Entertainment	Real Estate	Hotels & Resorts
Hotels & Hospitality	Real Estate	Hotels & Resorts;Hospitality
Hotel Reits	Real Estate	Hotels & Resorts;REITs
Real Estate Asset Management	Real Estate	Investment Management
Real Estate Investment Management & Joint Ventures	Real Estate	Investment Management
Land Rights & Condemnation	Real Estate	Land Use
Land Use	Real Estate	Land Use
Land Use & Natural Resources	Real Estate	Land Use
Land Use Law	Real Estate	Land Use
Land Use Regulation	Real Estate	Land Use
Planning & Land Use	Real Estate	Land Use
Real Estate & Land Use	Real Estate	Land Use
Real Estate Land Use	Real Estate	Land Use
Real Estate Land Use & Development	Real Estate	Land Use
Real Estate Land Use & Governmental Approvals	Real Estate	Land Use
Land Use & Real Estate Development	Real Estate	Land Use;Development
Land Use Development & Regulatory Law	Real Estate	Land Use;Development
Eminent Domain & Land Use Litigation	Real Estate	Land Use;Eminent Domain
